episode,ep_return_mean,ep_return_std,collisions,steps
1,-1084.765869140625,227.24984741210938,0,200
2,-832.302490234375,107.107177734375,0,200
3,-807.285888671875,226.77780151367188,0,200
4,-1320.94970703125,49.986083984375,0,200
5,-2011.4246826171875,153.5863037109375,0,200
6,-1048.7412109375,737.3568115234375,0,200
7,-1049.3876953125,60.852325439453125,0,200
8,-1583.818115234375,151.5731201171875,0,200
9,-1409.188720703125,222.090087890625,0,200
10,-1277.651123046875,46.93927001953125,0,200
11,-1340.0804443359375,638.2230224609375,0,200
12,-1637.989013671875,393.63897705078125,0,200
13,-1511.623046875,632.6387329101562,0,200
14,-1306.011474609375,709.4454956054688,0,200
15,-1068.6490478515625,367.3581848144531,0,200
16,-1602.595703125,398.24951171875,0,200
17,-2027.128662109375,995.98828125,0,200
18,-1093.4765625,146.589599609375,0,200
19,-842.9384765625,112.29171752929688,0,200
20,-1801.390380859375,287.60546875,0,200
21,-1169.1785888671875,5.244140625,0,200
22,-1175.9013671875,264.00506591796875,0,200
23,-1166.260986328125,300.07110595703125,0,200
24,-1795.729736328125,739.8764038085938,0,200
25,-1689.5203857421875,91.8995361328125,0,200
26,-2410.34130859375,594.1524658203125,0,200
27,-2455.27490234375,428.07318115234375,0,200
28,-1301.179931640625,262.6514892578125,0,200
29,-1991.0289306640625,285.9652099609375,0,200
30,-1887.90625,554.9299926757812,0,200
31,-1002.0291137695312,593.7531127929688,0,200
32,-763.1229858398438,69.9698486328125,0,200
33,-1694.600341796875,67.55218505859375,0,200
34,-2139.724365234375,154.43463134765625,0,200
35,-2289.63671875,202.320556640625,0,200
36,-1605.0078125,0.31988525390625,1,200
37,-1503.8533935546875,372.0184326171875,0,200
38,-1576.23095703125,354.08123779296875,0,200
39,-1058.438232421875,288.98388671875,0,200
40,-1512.9462890625,203.21893310546875,0,200
41,-1533.4014892578125,204.56787109375,0,200
42,-1155.484619140625,137.9111328125,0,200
43,-1525.5548095703125,578.6553955078125,0,200
44,-1154.64794921875,586.6325073242188,0,200
45,-778.795166015625,155.3585205078125,0,200
46,-1819.48388671875,15.23565673828125,0,200
47,-1481.262451171875,840.744140625,0,200
48,-2057.88427734375,208.3765869140625,0,200
49,-1243.57763671875,34.59552001953125,0,200
50,-1629.62451171875,799.176513671875,0,200
