episode,ep_return_mean,ep_return_std,collisions,steps
1,-37.189117431640625,5.683065414428711,3,300
2,660.375,658.210693359375,0,300
3,-1106.288330078125,4.98236083984375,110,300
4,-4.688783645629883,0.53719162940979,0,300
5,618.8709716796875,608.1039428710938,0,300
6,-14.75363540649414,4.286588668823242,0,300
7,508.7613830566406,680.149169921875,15,300
8,-283.8323059082031,11.00469970703125,29,300
9,-134.75025939941406,1.048553466796875,14,300
10,-3.8812599182128906,5.552581787109375,0,300
11,-14.737340927124023,6.737155437469482,0,300
12,-271.0461730957031,2.14044189453125,27,300
13,-96.33795166015625,0.9651260375976562,8,300
14,-55.89973449707031,10.306192398071289,4,300
15,-13.991010665893555,17.04909324645996,2,300
16,-646.1014404296875,15.13909912109375,64,300
17,-12.500100135803223,2.188081741333008,0,300
18,821.7316284179688,838.9812622070312,0,300
19,-305.4892272949219,10.7430419921875,31,300
20,607.563720703125,586.734375,0,300
21,-1.6079473495483398,7.185812950134277,0,300
22,-10.11819839477539,7.653419494628906,0,300
23,780.3605346679688,777.1510620117188,0,300
24,-8.493721008300781,1.980268955230713,0,300
25,609.4915161132812,604.5768432617188,0,300
26,8.183341979980469,6.857687473297119,0,300
27,601.421875,599.2977905273438,0,300
28,-42.62202835083008,1.5610809326171875,4,300
29,-277.65380859375,1.881927490234375,28,300
30,816.1599731445312,832.751220703125,0,300
31,-2.9919605255126953,5.728085517883301,0,300
32,-337.9649658203125,6.5480499267578125,34,300
33,268.6748046875,407.1085205078125,15,300
34,518.8721313476562,672.9015502929688,15,300
35,607.1607055664062,593.2863159179688,0,300
36,479.86102294921875,308.26861572265625,15,161
37,378.45306396484375,367.9234619140625,0,300
38,707.6202392578125,741.1515502929688,4,300
39,5.545766830444336,8.061908721923828,0,300
40,-204.996826171875,5.1495361328125,21,300
41,-33.322906494140625,4.244670867919922,3,300
42,-9.685355186462402,1.6105279922485352,0,300
43,324.9939270019531,490.31707763671875,18,300
44,-484.2001953125,4.720001220703125,48,300
45,433.5009765625,122.44903564453125,0,196
46,602.3677978515625,600.3369140625,0,300
47,413.526123046875,112.3565673828125,2,141
48,698.5457763671875,683.9373779296875,0,300
49,303.99310302734375,404.4084167480469,11,300
50,90.8083724975586,184.4722900390625,10,300
