episode,ep_return_mean,ep_return_std,collisions,steps
1,-4649.685546875,1011.926513671875,61,500
2,-5099.87841796875,2581.63623046875,0,500
3,-5023.0,822.954345703125,0,500
4,-4986.3896484375,3161.828857421875,0,500
5,-3070.61328125,565.5040283203125,0,500
6,-3367.06640625,894.8570556640625,36,500
7,-3247.43603515625,1536.0286865234375,0,500
8,-4559.3876953125,1035.108154296875,11,500
9,-4931.83837890625,393.23046875,0,500
10,-6174.3720703125,2909.1337890625,0,500
11,-6927.0986328125,889.6904296875,0,500
12,-4519.4052734375,9.265380859375,22,500
13,-6040.65625,383.712646484375,14,500
14,-5698.40576171875,716.8193359375,0,500
15,-7758.962890625,303.610595703125,0,500
16,-7170.943359375,946.784423828125,0,500
17,-5911.0869140625,618.717041015625,0,500
18,-7960.6826171875,1026.593505859375,0,500
19,-8217.341796875,4363.51025390625,0,500
20,-7899.478515625,3069.600341796875,0,500
21,-7371.2216796875,369.046875,0,500
22,-6172.16015625,1114.67431640625,0,500
23,-8228.1796875,1616.322021484375,0,500
24,-7779.43212890625,744.34326171875,35,500
25,-7852.25390625,300.798583984375,0,500
26,-6268.9404296875,19.865966796875,0,500
27,-6658.6962890625,2763.203125,0,500
28,-5894.27685546875,2613.793701171875,0,500
29,-7055.21728515625,2109.30712890625,0,500
30,-6652.21142578125,2188.11669921875,0,500
31,-8166.40625,5893.99169921875,0,500
32,-6092.3544921875,1580.130859375,0,500
33,-9410.697265625,1593.70751953125,0,500
34,-8329.568359375,2725.430419921875,0,500
35,-8375.306640625,739.138671875,0,500
36,-8136.4296875,872.755859375,0,500
37,-9121.3603515625,2621.639892578125,5,500
38,-9011.408203125,2755.365966796875,0,500
39,-6350.43359375,3101.170166015625,0,500
40,-7991.62158203125,4084.25048828125,0,500
41,-8960.380859375,3844.39794921875,0,500
42,-8207.44140625,2046.73876953125,17,500
43,-7769.33984375,3049.376708984375,0,500
44,-7290.6572265625,1045.541259765625,0,500
45,-8088.353515625,1562.288330078125,0,500
46,-6725.5888671875,890.047119140625,0,500
47,-8265.974609375,1126.671142578125,0,500
48,-6063.22509765625,2232.052490234375,0,500
49,-9202.37890625,928.49072265625,0,500
50,-8296.91796875,653.422607421875,0,500
