episode,ep_return_mean,ep_return_std,collisions,steps
1,-37.189117431640625,5.683065414428711,3,300
2,196.12039184570312,193.95603942871094,0,300
3,-1086.30029296875,4.97039794921875,108,300
4,-4.708808422088623,0.5114808082580566,0,300
5,200.30270385742188,189.53594970703125,0,300
6,-14.751380920410156,4.2841033935546875,0,300
7,38.219276428222656,209.49124145507812,15,300
8,-273.9403991699219,11.082305908203125,28,300
9,-325.21270751953125,0.4182586669921875,33,300
10,-3.912363052368164,5.476417541503906,0,300
11,-15.188430786132812,6.534115314483643,0,300
12,-300.8965759277344,2.7095947265625,30,300
13,-96.22866821289062,1.0610809326171875,8,300
14,-45.342750549316406,9.683897018432617,3,300
15,-14.440694808959961,15.943297386169434,2,300
16,-1075.2808837890625,14.7093505859375,107,300
17,-16.74837875366211,2.2143216133117676,0,300
18,195.32455444335938,209.43914794921875,0,300
19,-373.304931640625,8.9530029296875,38,300
20,18.374603271484375,0.21514511108398438,0,300
21,-1.0702500343322754,12.276344299316406,0,300
22,-3.9469032287597656,2.970402240753174,0,300
23,201.67822265625,208.64755249023438,0,300
24,-8.7310152053833,1.4167442321777344,0,300
25,331.55010986328125,4.8144378662109375,0,113
26,5.138886451721191,1.6591631174087524,0,300
27,1.5317187309265137,4.933692932128906,0,300
28,-8.859027862548828,2.4773359298706055,0,300
29,317.3306884765625,1.3792877197265625,0,171
30,154.6964111328125,211.0565185546875,4,300
31,-3.885291814804077,2.16715931892395,0,300
32,-583.939453125,18.834808349609375,60,300
33,-192.08058166503906,1.4144287109375,20,300
34,323.259521484375,1.2405853271484375,0,96
35,15.822243690490723,5.842104911804199,0,300
36,-331.3626708984375,202.1904296875,53,300
37,122.84886169433594,189.31517028808594,10,300
38,253.9136962890625,1.6059646606445312,7,68
39,188.14805603027344,187.08226013183594,0,300
40,-31.080366134643555,7.662336349487305,4,300
41,-91.82475280761719,10.866718292236328,10,300
42,175.6906280517578,197.5852813720703,2,300
43,9.882272720336914,7.790862560272217,0,300
44,-1650.431396484375,5.25799560546875,164,300
45,180.8659210205078,186.15115356445312,0,300
46,327.890869140625,9.283294677734375,0,106
47,195.97987365722656,196.80247497558594,0,300
48,5.967758655548096,11.131519317626953,0,300
49,-1.9767141342163086,8.523492813110352,1,300
50,328.31463623046875,0.306976318359375,0,166
