episode,ep_return_mean,ep_return_std,collisions,steps
1,-30.205398559570312,0.16237163543701172,3,300
2,-79.98802185058594,0.09733200073242188,8,300
3,-2230.197509765625,0.125244140625,223,300
4,150.0597686767578,150.10845947265625,0,300
5,-60.39753723144531,0.03375244140625,6,300
6,-0.3870626389980316,0.10347339510917664,0,300
7,0.01833343505859375,150.53338623046875,15,300
8,-1090.3193359375,0.2379760891199112,109,300
9,150.31954956054688,150.17861938476562,0,300
10,-0.08513790369033813,0.23445162177085876,0,300
11,-0.31177008152008057,0.29170680046081543,0,300
12,-10.122984886169434,0.3256034851074219,1,300
13,-0.3448478579521179,0.219107985496521,0,300
14,-20.655508041381836,0.020009994506835938,2,300
15,-0.013917356729507446,0.325534850358963,0,300
16,140.19595336914062,149.97975158691406,1,300
17,-40.21373748779297,0.3016986846923828,4,300
18,-0.5228175520896912,0.4021707773208618,0,300
19,-0.23511657118797302,0.04789596050977707,0,300
20,-0.2879341244697571,0.5209721922874451,0,300
21,129.92758178710938,150.65719604492188,2,300
22,-0.48534899950027466,0.20284219086170197,0,300
23,-0.22261369228363037,0.21235939860343933,0,300
24,0.3109038472175598,0.19115211069583893,0,300
25,0.0389939546585083,0.46941661834716797,0,300
26,0.4458405673503876,0.4537889361381531,0,300
27,-0.24836623668670654,0.2424652874469757,0,300
28,-0.17706233263015747,0.2090337574481964,0,300
29,-0.13133876025676727,0.11715696007013321,0,300
30,149.77627563476562,150.28475952148438,0,300
31,-0.31592366099357605,0.05031275749206543,0,300
32,150.6031494140625,149.99896240234375,0,300
33,-0.19122754037380219,0.02951762080192566,0,300
34,-30.043048858642578,0.1296253204345703,3,300
35,-0.006730973720550537,0.39776432514190674,0,300
36,-0.186442032456398,0.5311970710754395,0,300
37,0.09928633272647858,0.0600762814283371,0,300
38,150.1178741455078,150.31980895996094,0,300
39,150.23399353027344,150.2993621826172,0,300
40,0.1511075794696808,0.2693062424659729,0,300
41,0.006229221820831299,0.31581011414527893,0,300
42,-0.34852468967437744,0.3538239002227783,0,300
43,-0.4044571816921234,0.2937905788421631,0,300
44,0.1905222088098526,0.17893095314502716,0,300
45,-0.0624648779630661,0.42251652479171753,0,300
46,-0.46272534132003784,0.05399012565612793,0,300
47,150.3174591064453,150.24241638183594,0,300
48,150.6092529296875,149.99876403808594,0,300
49,-0.02530209720134735,0.021053612232208252,0,300
50,0.1556323766708374,0.09209605306386948,0,300
