episode,ep_return_mean,ep_return_std,collisions,steps
1,12.327455520629883,24.600854873657227,0,300
2,-2.729764461517334,12.616491317749023,0,300
3,-297.1087646484375,4.6510772705078125,27,300
4,202.6614532470703,205.9525604248047,0,300
5,373.09515380859375,12.02899169921875,0,214
6,-22.423160552978516,1.2790098190307617,0,300
7,146.5442657470703,201.65875244140625,0,300
8,-12.841861724853516,3.706058979034424,0,300
9,-22.822586059570312,3.2295446395874023,0,300
10,-8.94942855834961,31.689144134521484,0,300
11,-14.8919038772583,22.100534439086914,0,300
12,-256.9849548339844,0.556640625,25,300
13,-88.03324890136719,2.88525390625,3,300
14,-93.75054931640625,12.986119270324707,7,300
15,-43.1755485534668,13.40604019165039,3,300
16,-37.748878479003906,3.328868865966797,0,300
17,-27.961320877075195,14.027833938598633,0,300
18,203.77711486816406,200.6068878173828,0,300
19,246.5780029296875,178.95474243164062,0,300
20,231.61080932617188,178.10299682617188,0,300
21,-28.889507293701172,0.2976837158203125,0,300
22,-24.541419982910156,20.35629653930664,0,300
23,211.1143035888672,205.58970642089844,0,300
24,-197.74623107910156,2.8091278076171875,19,300
25,-102.00513458251953,2.4101409912109375,8,300
26,191.88612365722656,171.1470489501953,6,300
27,-13.345110893249512,21.20034408569336,0,300
28,-15.068303108215332,17.030624389648438,0,300
29,180.13539123535156,222.51771545410156,0,300
30,-36.49586486816406,18.43141746520996,0,300
31,-2.854569435119629,19.19896697998047,0,300
32,-58.1978759765625,40.205055236816406,6,300
33,-26.067768096923828,2.161149024963379,0,300
34,201.07803344726562,218.89773559570312,0,300
35,113.10247039794922,220.47467041015625,7,300
36,173.85206604003906,218.98915100097656,0,300
37,-501.0762634277344,22.426971435546875,52,300
38,173.46621704101562,233.4679718017578,0,300
39,11.042640686035156,199.0098876953125,18,300
40,166.45535278320312,217.095947265625,0,300
41,174.298583984375,227.45606994628906,0,300
42,-482.25714111328125,5.053558349609375,43,300
43,-807.15478515625,36.751312255859375,80,300
44,-1651.2978515625,7.6265869140625,161,300
45,216.07347106933594,180.5876007080078,0,300
46,-31.628582000732422,4.168515205383301,0,300
47,-55.20438766479492,2.2347984313964844,7,300
48,-485.4706115722656,8.844940185546875,48,300
49,-62.09429931640625,12.690122604370117,6,300
50,127.54286193847656,189.3228302001953,9,300
51,-21.581754684448242,4.044069290161133,0,300
52,-126.27204132080078,13.805763244628906,14,300
53,-863.4205322265625,32.39898681640625,86,300
54,-16.766437530517578,2.0696377754211426,0,300
55,-0.18973350524902344,4.447777271270752,0,300
56,208.74160766601562,203.517822265625,0,300
57,183.18870544433594,175.2161407470703,0,300
58,199.61590576171875,185.92828369140625,0,300
59,-50.88900375366211,25.273784637451172,0,300
60,-11.979619026184082,16.668235778808594,0,300
61,337.99847412109375,1.833526611328125,0,99
62,-68.71322631835938,187.41744995117188,24,300
63,-3.124312162399292,5.273643493652344,0,300
64,56.99760437011719,187.8213653564453,14,300
65,148.8856658935547,192.53367614746094,3,300
66,-276.2447814941406,191.09034729003906,46,300
67,4.0931830406188965,4.605922222137451,0,300
68,224.2115478515625,180.18821716308594,0,300
69,62.325862884521484,182.99514770507812,16,300
70,-20.91487693786621,13.743247032165527,0,300
71,177.0454559326172,188.34762573242188,0,300
72,202.63414001464844,195.0264129638672,0,300
73,-245.7722930908203,21.029739379882812,28,300
74,-267.6250915527344,202.0646514892578,47,300
75,-247.2679443359375,8.285667419433594,23,300
76,-253.33798217773438,4.868125915527344,23,300
77,309.3880615234375,7.0847625732421875,2,94
78,28.084814071655273,6.645235061645508,0,300
79,0.11252212524414062,16.117324829101562,0,300
80,29.090105056762695,17.49570655822754,0,300
81,199.10911560058594,196.74391174316406,0,300
82,189.79714965820312,188.85870361328125,0,300
83,-823.773193359375,234.51870727539062,100,300
84,-123.80145263671875,11.854480743408203,14,300
85,-688.8092651367188,0.7464599609375,67,300
86,-1216.7078857421875,0.677978515625,122,300
87,129.148681640625,194.46044921875,6,300
88,-397.323974609375,2.7744903564453125,39,300
89,-6.092036724090576,8.427597999572754,0,300
90,175.2142791748047,179.94227600097656,0,300
91,-15.66611099243164,3.9018712043762207,0,300
92,-0.20423126220703125,14.297125816345215,0,300
93,-15.173511505126953,22.01941680908203,0,300
94,203.31275939941406,214.40235900878906,0,300
95,-40.18572998046875,10.489355087280273,0,300
96,206.89820861816406,234.29579162597656,0,300
97,191.85830688476562,208.1914520263672,0,300
98,-28.9105167388916,0.10341644287109375,2,300
99,-164.88702392578125,163.96710205078125,41,300
100,193.42564392089844,210.7371063232422,0,300
