episode,ep_return_mean,ep_return_std,collisions,steps
1,-37.189117431640625,5.683065414428711,3,300
2,350.87127685546875,348.7069091796875,0,300
3,-1106.293212890625,4.97735595703125,110,300
4,-4.698508262634277,0.5222456455230713,0,300
5,339.7863464355469,329.0220031738281,0,300
6,-14.746769905090332,4.279589653015137,0,300
7,195.03707885742188,366.3669738769531,15,300
8,-344.00054931640625,10.47442626953125,35,300
9,-245.0208740234375,0.707733154296875,25,300
10,-3.8450927734375,5.481555938720703,0,300
11,-15.112987518310547,6.578813076019287,0,300
12,-290.70977783203125,2.5356903076171875,29,300
13,-86.28617858886719,1.0232124328613281,7,300
14,-45.46929168701172,9.81597900390625,3,300
15,-13.752398490905762,15.967886924743652,2,300
16,-1235.5120849609375,14.9185791015625,123,300
17,-16.668001174926758,1.8056340217590332,0,300
18,403.9059753417969,419.4906311035156,0,300
19,-393.53399658203125,9.252944946289062,40,300
20,18.810646057128906,0.2634859085083008,0,300
21,156.3950653076172,228.99330139160156,6,300
22,-8.338520050048828,0.37856125831604004,0,300
23,389.15020751953125,397.37335205078125,0,300
24,-7.859003067016602,0.013856172561645508,0,300
25,254.30726623535156,319.4940185546875,6,300
26,6.006704330444336,1.318253755569458,0,300
27,368.13800048828125,360.57318115234375,0,300
28,-6.739814758300781,4.064103603363037,0,300
29,3.985790729522705,7.170173168182373,0,300
30,315.8087158203125,414.7119140625,9,300
31,-3.680540084838867,0.2795459032058716,0,300
32,-325.9469299316406,18.79364013671875,33,300
33,14.130753517150879,5.006936073303223,0,300
34,186.3776397705078,2.16949462890625,14,75
35,12.238423347473145,2.070890426635742,0,300
36,408.5202941894531,87.076416015625,0,121
37,104.88581848144531,254.03733825683594,17,300
38,269.087890625,72.38249206542969,12,118
39,328.037353515625,6.3949737548828125,0,164
40,373.241943359375,360.89666748046875,0,300
41,387.85809326171875,380.3215026855469,0,300
42,404.1569519042969,408.8934020996094,0,300
43,-178.55010986328125,0.6323623657226562,18,300
44,-9.795745849609375,0.5644145011901855,0,300
45,-403.4054870605469,2.822418212890625,41,300
46,379.66619873046875,60.30255126953125,0,89
47,-7.193957328796387,8.285552978515625,0,300
48,9.452016830444336,3.2231664657592773,0,300
49,-109.11079406738281,161.56031799316406,29,300
50,301.9928283691406,283.3556823730469,0,300
