episode,ep_return_mean,ep_return_std,collisions,steps
1,41.47039794921875,909.7996215820312,50,3000
2,-103.0865478515625,1199.0784912109375,95,3000
3,372.8056640625,1580.5667724609375,63,3000
4,611.4131469726562,1585.178955078125,99,2780
5,-4569.6494140625,9.103271484375,336,3000
6,-1412.596923828125,4.997802734375,92,3000
7,-2729.969970703125,8.478271484375,221,3000
8,-996.798583984375,589.0738525390625,141,3000
9,-649.5615844726562,19.13116455078125,0,3000
10,640.291015625,1322.2562255859375,8,3000
11,-2349.813232421875,49.25439453125,252,3000
12,-633.2447509765625,19.719635009765625,0,3000
13,740.9776611328125,1412.6397705078125,0,3000
14,1010.6513671875,1654.14013671875,0,3000
15,-277.3914489746094,789.808349609375,104,1634
16,342.3271789550781,1055.94287109375,19,3000
17,791.5369262695312,803.6719360351562,0,1610
18,1248.0521240234375,1930.4613037109375,2,3000
19,621.81689453125,523.452880859375,0,1223
20,-1044.4979248046875,35.611724853515625,30,3000
21,-3712.26416015625,1714.9541015625,492,3000
22,123.98345947265625,315.2644958496094,0,2482
23,363.6143798828125,129.01901245117188,0,438
24,-1988.77001953125,667.2909545898438,286,2134
25,442.33917236328125,1523.496337890625,65,3000
26,584.5866088867188,1721.22412109375,77,3000
27,751.597412109375,1402.1728515625,10,3000
28,339.553466796875,209.59259033203125,0,1117
29,-117.18383026123047,126.09754180908203,57,716
30,1118.232177734375,1276.3433837890625,0,2177
31,777.1664428710938,1377.83154296875,0,3000
32,-199.52413940429688,467.3404846191406,0,3000
33,-619.415771484375,21.327606201171875,0,3000
34,413.9766845703125,207.7399444580078,0,732
35,563.5147705078125,1193.526123046875,0,3000
36,848.7792358398438,823.1509399414062,0,1565
37,500.9065856933594,311.10089111328125,0,987
38,-690.4745483398438,822.3236083984375,159,2014
39,-270.40228271484375,669.9841918945312,92,1347
40,-273.53631591796875,679.1270751953125,136,1253
41,134.037109375,1503.1533203125,105,3000
42,8.628692626953125,699.696533203125,0,3000
43,919.51806640625,1525.606201171875,0,3000
44,919.8031005859375,949.0894775390625,0,1701
45,449.8162841796875,153.7352752685547,0,376
46,426.6164855957031,545.748779296875,0,2113
47,426.5205078125,324.8082275390625,1,1147
48,907.2784423828125,1535.90380859375,0,3000
49,-256.5072937011719,392.8443908691406,118,942
50,-38.395263671875,1777.54248046875,131,3000
51,479.0941162109375,225.49378967285156,0,489
52,344.4483947753906,7.867523193359375,1,327
53,61.05426025390625,1659.633056640625,123,3000
54,-836.228515625,108.14016723632812,130,512
55,1075.2960205078125,1662.0484619140625,0,3000
56,1025.41162109375,1213.82568359375,0,2707
57,486.4792175292969,350.7867431640625,0,886
58,237.16595458984375,72.48040771484375,0,929
59,1249.7802734375,1930.281982421875,0,3000
60,-906.139404296875,487.7839050292969,177,1099
61,-791.1804809570312,1898.091552734375,247,3000
62,-243.99502563476562,341.2671203613281,120,654
63,-1182.3504638671875,645.1143798828125,260,1369
64,1250.4722900390625,1880.4893798828125,0,3000
65,1117.37548828125,1735.63037109375,0,3000
66,-115.45307159423828,259.2482604980469,58,753
67,-1336.541259765625,875.9340209960938,171,3000
68,899.4364013671875,988.4436645507812,17,1914
69,801.0379638671875,1417.0078125,9,3000
70,588.6693725585938,449.87835693359375,0,913
71,-765.3472900390625,54.795745849609375,15,3000
72,1197.5147705078125,1754.05810546875,0,3000
73,847.678955078125,1633.900634765625,26,3000
74,349.91400146484375,47.432952880859375,0,101
75,331.983154296875,33.04597473144531,0,176
76,539.6275634765625,509.6588439941406,6,1311
77,313.2919921875,10.319808959960938,0,73
78,539.568115234375,364.90216064453125,0,952
79,768.2262573242188,725.652099609375,0,1432
80,522.5249633789062,360.7251281738281,0,1010
81,796.0244140625,1480.810546875,26,3000
82,763.4317016601562,819.0426635742188,12,1617
83,325.6478271484375,55.81465148925781,2,277
84,1165.9334716796875,1744.6546630859375,0,3000
85,311.057861328125,21.398727416992188,0,223
86,507.7210388183594,293.4202575683594,0,611
87,-46.8287353515625,1788.218994140625,207,3000
88,-755.0123291015625,51.355072021484375,113,241
89,310.4683837890625,22.010955810546875,0,294
90,260.1318664550781,9.654022216796875,0,508
91,187.1997833251953,84.85151672363281,18,364
92,1102.65625,1766.8134765625,0,3000
93,320.1446533203125,20.252777099609375,0,256
94,559.7987670898438,462.0148010253906,0,1199
95,313.05328369140625,90.62094116210938,0,553
96,-857.522216796875,1330.666259765625,211,3000
97,349.5561828613281,44.57891845703125,0,96
98,1103.037841796875,1870.6025390625,17,3000
99,482.2646789550781,215.91091918945312,0,516
100,346.6212463378906,44.858551025390625,0,210
101,493.7644958496094,285.3780212402344,0,693
102,312.33001708984375,102.74484252929688,10,285
103,-436.9449462890625,267.3802490234375,68,2378
104,-812.517333984375,18.60833740234375,14,3000
105,1150.5545654296875,1758.07470703125,0,3000
106,460.74993896484375,202.8414306640625,0,377
107,532.3104248046875,261.0436706542969,0,513
108,-612.7325439453125,11.56707763671875,4,3000
109,668.7020263671875,515.9676513671875,0,998
110,1309.9246826171875,1863.6336669921875,0,3000
111,565.9078369140625,615.953857421875,0,1890
112,296.875732421875,388.0153503417969,0,2193
113,-2075.0048828125,2.0185546875,227,3000
114,619.8724365234375,484.9818420410156,1,1069
115,368.78558349609375,309.3643798828125,14,845
116,-72.27864074707031,11.158885955810547,32,199
117,336.2658386230469,41.517974853515625,0,131
118,1127.6998291015625,1699.1761474609375,9,3000
119,1251.949951171875,1835.878662109375,4,3000
120,369.051513671875,90.51542663574219,1,249
121,1177.125,1763.690185546875,0,3000
122,1144.694580078125,1785.346435546875,2,3000
123,444.3280944824219,313.4247741699219,21,716
124,1014.0155029296875,1606.3983154296875,0,3000
125,-291.1254577636719,358.4796447753906,15,3000
126,340.7705383300781,26.37786865234375,0,145
127,459.4830322265625,245.4704132080078,0,480
128,359.2125244140625,936.32568359375,0,3000
129,345.73443603515625,163.22796630859375,0,1003
130,1259.3427734375,1902.155517578125,0,3000
131,-1896.2015380859375,663.4771728515625,272,1245
132,-891.6362915039062,11.658447265625,29,3000
133,1254.58154296875,1928.513916015625,0,3000
134,651.1212158203125,547.4249267578125,0,1085
135,-6047.91455078125,13.8671875,740,3000
136,-631.3107299804688,11.661865234375,0,3000
137,380.95245361328125,924.5416870117188,0,3000
138,332.28424072265625,23.813583374023438,2,148
139,965.602783203125,959.6552734375,0,1703
140,433.3988037109375,159.9733123779297,0,334
141,630.26318359375,1495.095703125,45,3000
142,417.04522705078125,77.24853515625,0,220
143,-6611.12109375,1856.987060546875,904,3000
144,980.46337890625,1551.774169921875,0,3000
145,1050.62060546875,1664.158203125,0,3000
146,399.85845947265625,90.28776550292969,0,273
147,615.0049438476562,503.8836975097656,0,1237
148,1231.1162109375,1814.3370361328125,0,3000
149,1284.7950439453125,1820.2587890625,0,3000
150,732.627197265625,1302.19580078125,0,3000
151,254.10995483398438,71.80809783935547,12,598
152,1304.8433837890625,1491.964599609375,0,2787
153,535.0079956054688,472.2555236816406,7,1412
154,1242.1390380859375,1827.6573486328125,0,3000
155,-112.3114242553711,355.03875732421875,102,795
156,213.65716552734375,63.240142822265625,16,420
157,-255.43080139160156,273.259521484375,75,649
158,1076.8984375,1174.62353515625,0,2113
159,1230.4683837890625,1866.7611083984375,0,3000
160,471.0521240234375,271.05889892578125,0,642
161,1067.1202392578125,1264.9051513671875,0,2729
162,1301.401123046875,1826.2620849609375,0,3000
163,1177.806884765625,1797.908203125,0,3000
164,784.7691650390625,800.2042236328125,0,1595
165,314.9307861328125,7.2560882568359375,0,380
166,144.245361328125,166.66537475585938,33,927
167,-39.791343688964844,4.477302551269531,37,188
168,360.15411376953125,97.35896301269531,0,264
169,346.0572509765625,46.341064453125,0,257
170,440.9573974609375,147.01869201660156,0,331
171,-598.43310546875,5.276885986328125,0,3000
172,-693.5318603515625,1394.4906005859375,207,3000
173,65.55976867675781,37.81105041503906,27,211
174,358.7044677734375,72.27273559570312,0,167
