episode,ep_return_mean,ep_return_std,collisions,steps
1,-52.665130615234375,12.818227767944336,3,300
2,-576.4221801757812,8.063232421875,57,300
3,-2191.35791015625,10.4029541015625,217,300
4,-24.35576057434082,17.02911376953125,0,300
5,-205.00784301757812,15.587654113769531,19,300
6,-26.867855072021484,2.979762077331543,0,300
7,-63.330841064453125,96.31619262695312,10,300
8,-238.8466796875,85.82549285888672,30,300
9,-506.99462890625,1.332427978515625,51,300
10,7.7170820236206055,29.66058349609375,0,300
11,-20.50810432434082,36.131744384765625,0,300
12,-93.97956085205078,4.0877227783203125,8,300
13,-57.849037170410156,5.905736923217773,0,300
14,-104.78192138671875,23.013179779052734,8,300
15,-29.66539764404297,26.673786163330078,2,300
16,-496.36138916015625,3.09063720703125,46,300
17,-25.206140518188477,2.3951358795166016,0,300
18,-16.381153106689453,5.183380126953125,0,300
19,3.0643110275268555,16.92318344116211,0,300
20,68.1110610961914,63.373191833496094,0,300
21,-29.696855545043945,33.46717834472656,0,300
22,-28.41004180908203,21.328266143798828,0,300
23,43.97274398803711,81.1322021484375,0,300
24,-31.894573211669922,0.942326545715332,0,300
25,-25.15349769592285,10.298842430114746,0,300
26,2.177949905395508,4.351069450378418,0,300
27,-15.407524108886719,6.11638069152832,0,300
28,-71.62216186523438,6.373443603515625,7,300
29,43.36577224731445,62.06056213378906,0,300
30,44.922996520996094,52.191864013671875,0,300
31,-25.807554244995117,1.7201194763183594,0,300
32,-242.76797485351562,31.88005828857422,24,300
33,27.045799255371094,13.670673370361328,0,300
34,-1211.31396484375,10.2213134765625,122,300
35,56.828399658203125,82.27655029296875,0,300
36,-199.81326293945312,14.443374633789062,16,300
37,-11.193321228027344,4.062900543212891,0,300
38,-818.9984130859375,14.161895751953125,79,300
39,3.3256921768188477,9.558089256286621,0,300
40,32.05323791503906,119.77394104003906,0,300
41,-1554.257568359375,32.44818115234375,154,300
42,-348.13092041015625,4.284820556640625,29,300
43,-12.954107284545898,46.64802551269531,0,300
44,-374.0426025390625,15.037155151367188,33,300
45,-393.97442626953125,29.696487426757812,38,300
46,-28.44390869140625,3.3219308853149414,0,300
47,7.116444110870361,8.744182586669922,0,300
48,10.742229461669922,12.632777214050293,0,300
49,3.7207021713256836,16.959495544433594,0,300
50,77.03702545166016,74.81331634521484,0,300
