episode,ep_return_mean,ep_return_std,collisions,steps
1,-10.189103126525879,5.683060646057129,3,300
2,157.40213012695312,154.91415405273438,0,300
3,-69.63347625732422,3.6369094848632812,62,300
4,149.19769287109375,156.93978881835938,0,300
5,153.5797576904297,164.6930694580078,0,300
6,-8.08944034576416,2.374842882156372,0,300
7,-17.989953994750977,3.976330280303955,3,300
8,-1.4705138206481934,15.716196060180664,0,300
9,-64.46987915039062,2.011037826538086,67,300
10,161.33363342285156,166.4441375732422,0,300
11,-5.733858585357666,16.375394821166992,0,300
12,-32.35493850708008,4.332291603088379,32,300
13,-16.5350341796875,1.8277616500854492,0,300
14,-26.808120727539062,2.6391448974609375,22,300
15,-6.762571811676025,11.983352661132812,3,300
16,82.68893432617188,158.17575073242188,66,300
17,2.3462440967559814,8.962682723999023,0,300
18,2.7416129112243652,1.6461511850357056,0,300
19,161.0933837890625,163.18869018554688,0,300
20,161.17164611816406,157.04490661621094,0,300
21,286.5871887207031,3.72998046875,30,179
22,155.8874053955078,153.12831115722656,0,300
23,157.35903930664062,158.337646484375,0,300
24,168.2332763671875,158.08758544921875,0,300
25,157.26744079589844,167.9981231689453,0,300
26,-48.49171447753906,8.430185317993164,71,300
27,151.08595275878906,160.8896026611328,0,300
28,146.70339965820312,160.88760375976562,9,300
29,1.7362396717071533,2.5590593814849854,0,300
30,144.89697265625,155.2427978515625,0,300
31,-7.224322319030762,4.5071868896484375,0,300
32,-1.6030151844024658,7.961865425109863,0,300
33,168.49647521972656,157.16049194335938,2,300
34,163.1497039794922,150.1923370361328,2,300
35,170.8981475830078,155.6668243408203,0,300
36,160.42855834960938,146.913330078125,0,300
37,169.99989318847656,164.2495880126953,5,300
38,282.9444580078125,4.835906982421875,36,68
39,5.879989147186279,8.248401641845703,0,300
40,164.92022705078125,160.08375549316406,3,300
41,166.10540771484375,149.49554443359375,0,300
42,-76.41287231445312,0.4501380920410156,66,300
43,-3.3580808639526367,5.9839582443237305,9,300
44,1.2313545942306519,2.3635077476501465,0,300
45,318.5976867675781,11.2034912109375,0,105
46,312.9267578125,5.9537506103515625,0,186
47,145.99444580078125,156.41848754882812,17,300
48,171.5790557861328,159.22389221191406,0,300
49,315.38531494140625,4.8902435302734375,9,299
50,172.25643920898438,152.2257080078125,0,300
