episode,return_mean,collisions,steps,success
1,-37.189117431640625,3,300,0
2,157.43182373046875,0,300,0
3,-1086.3017578125,108,300,0
4,-4.715114593505859,0,300,0
5,164.61825561523438,0,300,0
6,-14.731881141662598,0,300,0
7,-1.0396957397460938,15,300,0
8,-243.76004028320312,25,300,0
9,-355.219482421875,36,300,0
10,-3.992316246032715,0,300,0
11,-15.18699836730957,0,300,0
12,-301.09814453125,30,300,0
13,-86.19941711425781,7,300,0
14,-45.3626594543457,3,300,0
15,-14.39404010772705,2,300,0
16,-985.108642578125,98,300,0
17,-16.91964340209961,0,300,0
18,143.6850128173828,0,300,0
19,-383.1054992675781,39,300,0
20,18.121742248535156,0,300,0
21,-1.482248306274414,0,300,0
22,-3.4367222785949707,0,300,0
23,153.83908081054688,0,300,0
24,-8.89852237701416,0,300,0
25,320.5511779785156,0,113,1
26,4.8743391036987305,0,300,0
27,2.5270562171936035,0,300,0
28,-9.032018661499023,0,300,0
29,313.13568115234375,0,165,1
30,-18.654647827148438,16,300,0
31,-7.429400444030762,0,300,0
32,-255.90170288085938,27,300,0
33,-15.257088661193848,2,300,0
34,290.2486267089844,3,102,1
35,15.809181213378906,0,300,0
36,-238.9272918701172,40,300,0
37,110.9749755859375,7,300,0
38,199.6803741455078,12,71,1
39,166.0228271484375,0,300,0
40,42.49067687988281,12,300,0
41,20.73345184326172,14,300,0
42,152.21231079101562,0,300,0
43,7.21783447265625,0,300,0
44,-22.297157287597656,1,300,0
45,163.72393798828125,0,300,0
46,311.6935729980469,0,45,1
47,-1.3852595090866089,0,300,0
48,5.57451868057251,0,300,0
49,3.987393856048584,0,300,0
50,326.39263916015625,0,144,1
