episode,return_mean,collisions,steps,success
1,-55.41571807861328,3,300,0
2,-334.97930908203125,32,300,0
3,-2114.607421875,209,300,0
4,-26.22263526916504,0,300,0
5,-102.3950424194336,9,300,0
6,-26.451034545898438,0,300,0
7,-182.00372314453125,15,300,0
8,-146.34503173828125,13,300,0
9,101.28551483154297,0,300,0
10,-14.49638843536377,0,300,0
11,-24.71953773498535,0,300,0
12,-120.66206359863281,10,300,0
13,-44.04424285888672,0,300,0
14,-130.33261108398438,9,300,0
15,-978.8356323242188,96,300,0
16,-1540.3006591796875,151,300,0
17,-23.145828247070312,0,300,0
18,-52.51567840576172,0,300,0
19,5.273301124572754,0,300,0
20,111.2480697631836,0,300,0
21,-14.088894844055176,0,300,0
22,-15.275955200195312,0,300,0
23,-15.032944679260254,0,300,0
24,-9.790875434875488,1,300,0
25,-138.23379516601562,13,300,0
26,16.711776733398438,0,300,0
27,-20.569984436035156,0,300,0
28,-28.499290466308594,0,300,0
29,-17.741722106933594,0,300,0
30,43.338157653808594,4,300,0
31,-25.634681701660156,0,300,0
32,-266.02734375,27,300,0
33,-119.02461242675781,12,300,0
34,-177.7946319580078,18,300,0
35,1.4089479446411133,0,300,0
36,-10.764636993408203,0,300,0
37,-857.5096435546875,86,300,0
38,-200.77369689941406,42,119,1
39,-11.996580123901367,0,300,0
40,-11.831360816955566,0,300,0
41,-30.562734603881836,1,300,0
42,-81.14840698242188,6,300,0
43,-497.282958984375,49,300,0
44,-29.96926498413086,0,300,0
45,-17.97612190246582,0,300,0
46,-15.7744722366333,0,300,0
47,-25.194656372070312,0,300,0
48,-10.266397476196289,0,300,0
49,-11.762829780578613,0,300,0
50,71.06245422363281,3,300,0
