episode,return_mean,collisions,steps,success
1,3.3274478912353516,0,300,0
2,-11.134596824645996,0,300,0
3,-36.176666259765625,0,300,0
4,701.2939453125,0,300,0
5,604.7561645507812,0,300,0
6,-22.06672477722168,0,300,0
7,-49.45359802246094,0,300,0
8,-36.34922790527344,0,300,0
9,523.9854125976562,0,300,0
10,-11.558622360229492,0,300,0
11,-30.69913101196289,0,300,0
12,-65.09224700927734,9,300,0
13,-68.34442901611328,0,300,0
14,-47.03529739379883,1,300,0
15,-128.6212921142578,21,300,0
16,-52.772857666015625,1,300,0
17,-27.42129135131836,0,300,0
18,-70.6668472290039,0,300,0
19,19.46980857849121,0,300,0
20,577.6354370117188,0,300,0
21,-37.37849807739258,0,300,0
22,-35.03947830200195,0,300,0
23,660.768798828125,0,300,0
24,-27.779129028320312,0,300,0
25,-27.773632049560547,0,300,0
26,-0.6673496961593628,0,300,0
27,-20.650253295898438,0,300,0
28,555.8336791992188,0,300,0
29,627.041748046875,0,300,0
30,698.1016235351562,0,300,0
31,-6.876908302307129,0,300,0
32,-17.20943832397461,1,300,0
33,-23.304872512817383,0,300,0
34,618.2678833007812,0,300,0
35,233.41207885742188,3,300,0
36,598.68505859375,0,300,0
37,546.7554931640625,1,300,0
38,515.77392578125,0,300,0
39,443.7779846191406,0,300,0
40,-21.82132911682129,0,300,0
41,-30.874799728393555,0,300,0
42,710.9547119140625,0,300,0
43,562.3272094726562,0,300,0
44,-31.925193786621094,0,300,0
45,636.1253662109375,0,250,1
46,-3.631542682647705,0,300,0
47,7.649443626403809,0,300,0
48,7.733808517456055,0,300,0
49,-4.573090076446533,0,300,0
50,458.292236328125,0,171,1
51,549.1800537109375,0,300,0
52,-33.96251678466797,6,300,0
53,-21.190969467163086,0,300,0
54,392.97100830078125,0,300,0
55,22.72081184387207,0,300,0
56,614.7935791015625,0,291,1
57,-4.077125549316406,0,300,0
58,401.43115234375,0,300,0
59,-35.587554931640625,0,300,0
60,453.1645812988281,1,300,0
61,-32.71473693847656,0,300,0
62,384.2303161621094,5,300,0
63,22.16229248046875,0,300,0
64,655.355224609375,0,300,0
65,580.1492919921875,0,181,1
66,566.5302124023438,3,300,0
67,546.6824951171875,0,300,0
68,575.3870849609375,0,300,0
69,675.9262084960938,0,300,0
70,-17.309778213500977,0,300,0
71,222.12649536132812,0,300,0
72,663.0556640625,0,298,1
73,28.695201873779297,1,300,0
74,-36.379520416259766,2,300,0
75,623.9768676757812,3,300,0
76,456.3248596191406,1,300,0
77,535.3861083984375,3,300,0
78,10.453489303588867,0,300,0
79,-9.090534210205078,0,300,0
80,519.826904296875,0,300,0
81,272.5679626464844,1,300,0
82,5.470252990722656,0,300,0
83,586.7493286132812,0,300,0
84,3.403627872467041,0,300,0
85,-22.73096466064453,1,300,0
86,403.53485107421875,0,300,0
87,639.9657592773438,7,177,1
88,-1.6801042556762695,0,300,0
89,619.3552856445312,0,300,0
90,758.2667846679688,12,257,1
91,551.56591796875,20,300,0
92,477.7800598144531,0,53,1
93,-29.788185119628906,0,300,0
94,-23.79686737060547,3,300,0
95,-18.95403289794922,0,300,0
96,682.2021484375,0,300,0
97,692.4797973632812,0,300,0
98,484.412353515625,0,300,0
99,681.4551391601562,0,300,0
100,23.811214447021484,0,300,0
