episode,return_mean,collisions,steps,success
1,3.3274478912353516,0,300,0
2,-11.134596824645996,0,300,0
3,-36.176666259765625,0,300,0
4,701.2939453125,0,300,0
5,548.4578247070312,7,300,0
6,-16.249305725097656,0,300,0
7,-50.466392517089844,0,300,0
8,-36.84299087524414,0,300,0
9,565.8941040039062,0,300,0
10,-11.478246688842773,0,300,0
11,-31.090272903442383,0,300,0
12,-93.66375732421875,14,300,0
13,-68.53964233398438,0,300,0
14,-127.13021850585938,14,300,0
15,-35.200992584228516,6,300,0
16,-60.62320327758789,1,300,0
17,-30.183835983276367,0,300,0
18,-76.43661499023438,0,300,0
19,4.549918174743652,0,300,0
20,623.3628540039062,0,300,0
21,-43.15086364746094,0,300,0
22,-49.36223602294922,0,300,0
23,-17.587261199951172,0,300,0
24,-10.924612998962402,0,300,0
25,-39.004695892333984,0,300,0
26,10.8380126953125,0,300,0
27,-45.93230438232422,0,300,0
28,672.625,0,300,0
29,-44.94021224975586,0,300,0
30,696.1248168945312,0,300,0
31,-16.617347717285156,0,300,0
32,-32.61831283569336,5,300,0
33,-43.84205627441406,0,300,0
34,557.218017578125,2,300,0
35,-30.058700561523438,0,300,0
36,-15.68887710571289,0,300,0
37,26.470117568969727,2,300,0
38,601.5499877929688,0,300,0
39,-56.292205810546875,3,300,0
40,-42.49064636230469,0,300,0
41,-50.33308029174805,0,300,0
42,-94.63423919677734,13,300,0
43,-37.776947021484375,0,300,0
44,-24.862062454223633,0,300,0
45,-24.059350967407227,0,300,0
46,446.54217529296875,0,300,0
47,-186.94219970703125,28,300,0
48,-81.16921997070312,14,300,0
49,-85.7752685546875,14,300,0
50,3.5842742919921875,0,300,0
51,479.3089599609375,0,300,0
52,-16.1817569732666,0,300,0
53,-23.26879119873047,1,300,0
54,662.5162353515625,0,300,0
55,417.5681457519531,0,300,0
56,12.312613487243652,0,300,0
57,-29.403919219970703,0,300,0
58,536.764404296875,0,300,0
59,533.83642578125,3,300,0
60,-60.04905700683594,5,300,0
61,437.34271240234375,29,300,0
62,718.4561157226562,0,300,0
63,4.103665828704834,0,300,0
64,665.7655029296875,0,300,0
65,612.4029541015625,0,300,0
66,-420.1035461425781,83,300,0
67,-25.46682357788086,0,300,0
68,371.4160461425781,0,300,0
69,707.9209594726562,0,157,1
70,-18.408370971679688,0,300,0
71,-17.76873016357422,0,300,0
72,-3.139854907989502,0,300,0
73,-57.063568115234375,18,300,0
74,662.5889282226562,0,300,0
75,-10.869850158691406,0,300,0
76,-77.9264144897461,9,300,0
77,725.113525390625,0,212,1
78,18.311750411987305,0,300,0
79,528.12890625,0,300,0
80,333.690673828125,0,300,0
81,-167.71144104003906,34,300,0
82,2.9486470222473145,0,300,0
83,-229.41119384765625,42,300,0
84,703.5164794921875,0,238,1
85,-264.90057373046875,49,300,0
86,390.13201904296875,11,300,0
87,-32.97947692871094,97,300,0
88,-481.07861328125,96,300,0
89,-296.3442077636719,57,300,0
90,446.1370849609375,0,300,0
91,-86.62312316894531,11,300,0
92,586.9069213867188,0,300,0
93,88.19984436035156,32,300,0
94,234.82008361816406,0,300,0
95,-36.910552978515625,0,300,0
96,579.7916870117188,0,300,0
97,710.9761962890625,0,300,0
98,595.6568603515625,0,300,0
99,-16.901241302490234,0,300,0
100,558.42236328125,0,300,0
