episode,return_mean,collisions,steps,success
1,-50.540283203125,3,300,0
2,173.95045471191406,0,300,0
3,-1617.8619384765625,160,300,0
4,151.50082397460938,0,300,0
5,178.49398803710938,0,300,0
6,-23.07098388671875,0,300,0
7,310.33056640625,3,134,1
8,45.07665252685547,11,300,0
9,-5.837608337402344,0,300,0
10,-18.863544464111328,0,300,0
11,-19.5100040435791,0,300,0
12,-137.02703857421875,13,300,0
13,-115.4500732421875,5,300,0
14,-174.7462158203125,14,300,0
15,-63.869598388671875,8,300,0
16,-49.49430847167969,0,300,0
17,150.13088989257812,0,300,0
18,127.85694885253906,0,300,0
19,206.513916015625,0,300,0
20,372.6151428222656,0,117,1
21,143.93869018554688,0,300,0
22,-37.65660858154297,0,300,0
23,170.05702209472656,0,300,0
24,11.645225524902344,0,300,0
25,167.25082397460938,0,300,0
26,34.2331657409668,0,300,0
27,-25.296037673950195,0,300,0
28,11.087105751037598,1,300,0
29,-9.12639331817627,0,300,0
30,146.50408935546875,0,300,0
31,5.997117042541504,0,300,0
32,30.952335357666016,0,300,0
33,-149.14089965820312,16,300,0
34,287.09832763671875,7,211,1
35,16.380420684814453,0,300,0
36,155.4981231689453,0,300,0
37,78.1117172241211,0,300,0
38,-47.31389236450195,6,300,0
39,8.930660247802734,0,300,0
40,117.99061584472656,7,300,0
41,183.3990020751953,0,300,0
42,329.1865234375,0,118,1
43,196.04827880859375,0,300,0
44,-34.93265151977539,0,300,0
45,17.91337013244629,0,300,0
46,21.263315200805664,0,300,0
47,-762.8092651367188,77,300,0
48,197.75616455078125,0,300,0
49,-78.52597045898438,7,300,0
50,180.9412384033203,0,300,0
