episode,return_mean,collisions,steps,success
1,-41.03038787841797,0,500,0
2,11.575712203979492,0,500,0
3,393.54669189453125,0,500,0
4,-48.96522903442383,14,500,0
5,-46.08000564575195,5,500,0
6,-34.20773696899414,0,500,0
7,257.1020202636719,0,500,0
8,104.00568389892578,0,500,0
9,8.125415802001953,0,500,0
10,-18.864444732666016,0,500,0
11,282.6409912109375,0,500,0
12,-12.451645851135254,1,500,0
13,-40.727909088134766,1,500,0
14,-31.13616943359375,3,500,0
15,31.524137496948242,0,500,0
16,1194.48583984375,0,500,0
17,472.2024230957031,1,500,0
18,1194.2418212890625,0,500,0
19,-17.280033111572266,0,500,0
20,2870.8837890625,0,500,0
21,535.562744140625,0,500,0
22,252.99290466308594,0,500,0
23,-41.036888122558594,0,500,0
24,1469.9278564453125,0,500,0
25,-14.709033966064453,0,500,0
26,36.238929748535156,0,500,0
27,10.15300178527832,0,500,0
28,180.98263549804688,0,500,0
29,1328.136474609375,8,500,0
30,417.83367919921875,0,500,0
31,0.38347434997558594,0,500,0
32,-9.331780433654785,0,500,0
33,136.55850219726562,1,500,0
34,608.3232421875,0,500,0
35,-8.275407791137695,2,500,0
36,12.258378982543945,1,500,0
37,634.8864135742188,1,461,1
38,-0.5905556678771973,1,500,0
39,148.13153076171875,0,500,0
40,208.36398315429688,3,500,0
41,63.68023681640625,0,500,0
42,83.57185363769531,13,500,0
43,57.07770538330078,0,500,0
44,1630.511474609375,0,500,0
45,1495.7381591796875,1,500,0
46,5.430006980895996,0,500,0
47,1219.0751953125,0,437,1
48,-13.02433967590332,0,500,0
49,63.94364929199219,0,500,0
50,915.1959228515625,0,500,0
51,16.10939598083496,0,500,0
52,3714.3759765625,4,500,0
53,878.7724609375,0,500,0
54,-2.014704942703247,0,500,0
55,184.61122131347656,1,500,0
56,2991.903564453125,0,500,0
57,99.97674560546875,0,500,0
58,-8.993329048156738,0,500,0
59,178.00242614746094,4,500,0
60,166.53794860839844,0,500,0
61,967.7846069335938,0,500,0
62,1240.216552734375,1,500,0
63,719.747802734375,12,500,0
64,222.05233764648438,0,500,0
65,98.89405822753906,0,500,0
66,459.2516784667969,0,500,0
67,-7.651481628417969,0,500,0
68,-7.5107574462890625,0,500,0
69,657.5548095703125,0,500,0
70,29.28653335571289,1,500,0
71,8.718033790588379,0,500,0
72,158.0380859375,0,500,0
73,16.47957992553711,0,500,0
74,379.95770263671875,0,74,1
75,1677.0911865234375,0,500,0
76,2432.15185546875,2,500,0
77,205.66993713378906,0,500,0
78,-197.6619110107422,18,500,0
79,-66.46548461914062,4,500,0
80,0.8642323017120361,1,500,0
81,-34.88932418823242,2,500,0
82,-13.301973342895508,3,500,0
83,-8.921995162963867,2,500,0
84,-9.277777671813965,0,500,0
85,41.71691131591797,0,500,0
86,1.0388150215148926,0,500,0
87,3.0772552490234375,0,500,0
88,96.34154510498047,1,500,0
89,963.4151611328125,0,500,0
90,264.9454345703125,0,500,0
91,4.718101978302002,0,500,0
92,534.7825317382812,0,500,0
93,746.0037841796875,0,500,0
94,888.1644287109375,1,500,0
95,4184.5849609375,0,500,0
96,224.1261444091797,0,500,0
97,2413.647705078125,0,500,0
98,-5.656684398651123,2,500,0
99,204.38475036621094,2,500,0
100,1670.44677734375,0,500,0
101,34.09728240966797,3,500,0
102,50.7710075378418,1,500,0
103,605.4063720703125,0,500,0
104,-12.780279159545898,0,500,0
105,618.7764282226562,2,500,0
106,787.4362182617188,0,500,0
107,392.0177917480469,0,500,0
108,3593.987060546875,0,500,0
109,2155.119873046875,0,500,0
110,-93.19464874267578,9,500,0
111,4.951542377471924,1,500,0
112,999.3062133789062,1,302,1
113,673.8033447265625,0,308,1
114,453.0794372558594,0,500,0
115,241.5818634033203,0,59,1
116,2066.233642578125,0,500,0
117,1854.26513671875,0,500,0
118,1208.675537109375,0,500,0
119,6.671874046325684,0,500,0
120,1547.5438232421875,1,500,0
121,-32.826961517333984,5,500,0
122,476.307373046875,0,500,0
123,456.42291259765625,0,500,0
124,-24.44190216064453,3,500,0
125,3600.78857421875,0,485,1
126,381.1239013671875,0,500,0
127,108.83226013183594,0,500,0
128,505.2307434082031,0,500,0
129,-118.63340759277344,13,500,0
130,1394.2198486328125,0,500,0
131,-148.22329711914062,16,500,0
132,8.389098167419434,0,500,0
133,307.3661804199219,0,500,0
134,136.12156677246094,2,500,0
135,799.8731079101562,0,500,0
136,89.60176086425781,1,500,0
137,375.92584228515625,0,500,0
138,-9.768634796142578,1,500,0
139,1439.7916259765625,0,500,0
140,2184.60498046875,0,500,0
141,565.0860595703125,0,500,0
142,168.62088012695312,6,500,0
143,305.34716796875,0,500,0
144,29.73908233642578,0,500,0
145,522.6555786132812,1,500,0
146,1354.13232421875,0,500,0
147,949.2433471679688,1,500,0
148,423.0838623046875,0,500,0
149,160.87098693847656,0,500,0
150,1228.601806640625,1,500,0
151,544.4229125976562,4,500,0
152,520.8356323242188,0,500,0
153,1081.8260498046875,3,500,0
154,-0.7981986999511719,0,500,0
155,21.522485733032227,0,500,0
156,202.1298370361328,0,214,1
157,1169.8494873046875,0,500,0
158,804.8469848632812,0,500,0
159,1925.7822265625,3,500,0
160,399.62982177734375,0,500,0
161,14.434783935546875,12,500,0
162,1350.832763671875,0,500,0
163,69.12153625488281,0,500,0
164,1255.584716796875,1,500,0
165,1519.420166015625,0,500,0
166,10.052359580993652,0,500,0
167,1140.3743896484375,0,500,0
168,-4.394498825073242,0,500,0
169,1548.388671875,0,500,0
170,402.8939514160156,0,500,0
171,2693.186279296875,0,271,1
172,461.7304992675781,1,500,0
173,2630.02001953125,0,500,0
174,435.30206298828125,22,500,0
175,1112.248291015625,0,500,0
176,803.98681640625,0,415,1
177,3074.15478515625,6,500,0
178,610.8369750976562,0,500,0
179,1378.3243408203125,0,500,0
180,656.91748046875,0,500,0
181,147.80514526367188,0,500,0
182,1909.5025634765625,0,500,0
183,2163.940673828125,0,500,0
184,475.6610107421875,1,500,0
185,1076.302734375,0,185,1
186,50.99287796020508,0,500,0
187,528.5553588867188,0,500,0
188,794.9464721679688,0,500,0
189,638.0324096679688,0,500,0
190,1911.7738037109375,0,500,0
191,465.7218322753906,0,500,0
192,2058.3271484375,3,500,0
193,1034.098388671875,0,341,1
194,27.456775665283203,1,500,0
195,10.4915132522583,1,500,0
196,771.3978271484375,0,500,0
197,-11.035674095153809,0,500,0
198,79.75582885742188,3,500,0
199,1315.97119140625,0,500,0
200,331.7684326171875,1,500,0
