episode,return_mean,collisions,steps,success
1,-37.189117431640625,3,300,0
2,196.12039184570312,0,300,0
3,-1086.30029296875,108,300,0
4,-4.708808422088623,0,300,0
5,200.30270385742188,0,300,0
6,-14.751380920410156,0,300,0
7,38.219276428222656,15,300,0
8,-273.9403991699219,28,300,0
9,-325.21270751953125,33,300,0
10,-3.912363052368164,0,300,0
11,-15.188430786132812,0,300,0
12,-300.8965759277344,30,300,0
13,-96.22866821289062,8,300,0
14,-45.342750549316406,3,300,0
15,-14.440694808959961,2,300,0
16,-1075.2808837890625,107,300,0
17,-16.74837875366211,0,300,0
18,195.32455444335938,0,300,0
19,-373.304931640625,38,300,0
20,18.374603271484375,0,300,0
21,-1.0702500343322754,0,300,0
22,-3.9469032287597656,0,300,0
23,201.67822265625,0,300,0
24,-8.7310152053833,0,300,0
25,331.55010986328125,0,113,1
26,5.138886451721191,0,300,0
27,1.5317187309265137,0,300,0
28,-8.859027862548828,0,300,0
29,317.3306884765625,0,171,1
30,154.6964111328125,4,300,0
31,-3.885291814804077,0,300,0
32,-583.939453125,60,300,0
33,-192.08058166503906,20,300,0
34,323.259521484375,0,96,1
35,15.822243690490723,0,300,0
36,-331.3626708984375,53,300,0
37,122.84886169433594,10,300,0
38,253.9136962890625,7,68,1
39,188.14805603027344,0,300,0
40,-31.080366134643555,4,300,0
41,-91.82475280761719,10,300,0
42,175.6906280517578,2,300,0
43,9.882272720336914,0,300,0
44,-1650.431396484375,164,300,0
45,180.8659210205078,0,300,0
46,327.890869140625,0,106,1
47,195.97987365722656,0,300,0
48,5.967758655548096,0,300,0
49,-1.9767141342163086,1,300,0
50,328.31463623046875,0,166,1
