episode,return_mean,collisions,steps,success
1,-37.189117431640625,3,300,0
2,212.791015625,0,300,0
3,-1086.299560546875,108,300,0
4,-4.468443870544434,0,300,0
5,215.64073181152344,0,300,0
6,-14.734325408935547,0,300,0
7,55.41365051269531,15,300,0
8,-243.83575439453125,25,300,0
9,-304.90240478515625,31,300,0
10,-3.965000629425049,0,300,0
11,-14.976961135864258,0,300,0
12,-291.4583740234375,29,300,0
13,-96.2972640991211,8,300,0
14,-45.91051483154297,3,300,0
15,-13.485143661499023,2,300,0
16,-1185.413818359375,118,300,0
17,-17.260547637939453,0,300,0
18,217.99734497070312,0,300,0
19,-543.1873168945312,55,300,0
20,18.80274200439453,0,300,0
21,-0.9457592964172363,0,300,0
22,-4.472911357879639,0,300,0
23,222.85350036621094,0,300,0
24,-8.70373249053955,0,300,0
25,213.74046325683594,0,300,0
26,6.614725112915039,0,300,0
27,218.05543518066406,0,300,0
28,-53.34601593017578,5,300,0
29,-77.63926696777344,8,300,0
30,216.52503967285156,0,300,0
31,-8.23730182647705,0,300,0
32,-106.8194808959961,11,300,0
33,-121.50537109375,14,300,0
34,70.41820526123047,15,300,0
35,216.70816040039062,0,300,0
36,178.89300537109375,16,119,1
37,121.06523132324219,6,300,0
38,160.43789672851562,7,300,0
39,8.451041221618652,0,300,0
40,9.589427947998047,0,300,0
41,-172.73434448242188,39,300,0
42,199.8365020751953,0,300,0
43,-82.49820709228516,9,300,0
44,-119.57388305664062,11,300,0
45,235.45909118652344,0,300,0
46,328.25634765625,0,80,1
47,229.8549346923828,0,300,0
48,199.86268615722656,0,300,0
49,-144.76451110839844,16,300,0
50,-670.2060546875,69,300,0
