episode,return_mean,collisions,steps,success
1,-41.03038787841797,0,500,0
2,11.575712203979492,0,500,0
3,393.54669189453125,0,500,0
4,-48.96522903442383,14,500,0
5,-46.08000564575195,5,500,0
6,-34.20773696899414,0,500,0
7,257.1020202636719,0,500,0
8,104.00568389892578,0,500,0
9,8.125415802001953,0,500,0
10,-18.864444732666016,0,500,0
11,282.6409912109375,0,500,0
12,-12.451645851135254,1,500,0
13,-40.727909088134766,1,500,0
14,-31.13616943359375,3,500,0
15,31.524137496948242,0,500,0
16,1194.48583984375,0,500,0
17,472.2024230957031,1,500,0
18,1194.2418212890625,0,500,0
19,-17.280033111572266,0,500,0
20,2870.8837890625,0,500,0
21,535.562744140625,0,500,0
22,252.99290466308594,0,500,0
23,-41.036888122558594,0,500,0
24,1469.9278564453125,0,500,0
25,-14.709033966064453,0,500,0
26,36.238929748535156,0,500,0
27,10.15300178527832,0,500,0
28,180.98263549804688,0,500,0
29,1328.136474609375,8,500,0
30,417.83367919921875,0,500,0
31,0.38347434997558594,0,500,0
32,-9.331780433654785,0,500,0
33,136.55850219726562,1,500,0
34,608.3232421875,0,500,0
35,-8.275407791137695,2,500,0
36,12.258378982543945,1,500,0
37,634.8864135742188,1,461,1
38,-0.5905556678771973,1,500,0
39,148.13153076171875,0,500,0
40,208.36398315429688,3,500,0
41,63.68023681640625,0,500,0
42,83.57185363769531,13,500,0
43,57.07770538330078,0,500,0
