episode,return_mean,collisions,steps,success
323,172.86529541015625,0,200,1
324,224.7060546875,0,200,1
325,333.240478515625,0,73,1
326,178.58323669433594,0,200,1
327,328.90863037109375,0,82,1
328,203.85440063476562,0,200,1
329,-286.7168884277344,40,200,1
330,187.06283569335938,19,93,1
331,363.9085998535156,0,119,1
332,247.70977783203125,17,70,1
333,194.29913330078125,0,200,1
334,81.47614288330078,20,200,1
335,156.1776580810547,0,200,1
336,231.43226623535156,0,200,1
337,355.17156982421875,0,90,1
338,-26.163429260253906,0,200,1
339,177.84756469726562,2,200,1
340,203.58981323242188,0,200,1
341,163.6284942626953,0,200,1
342,326.4947509765625,0,61,1
343,180.6248016357422,0,200,1
344,-20.861515045166016,0,200,1
345,206.41488647460938,4,200,1
346,-175.0891876220703,40,200,1
347,228.64016723632812,0,200,1
348,368.27685546875,0,171,1
349,240.5980682373047,0,200,1
350,4.974449157714844,0,200,1
351,193.15846252441406,8,200,1
352,336.9922180175781,11,188,1
353,140.5085906982422,0,200,1
354,-1.8838186264038086,0,200,1
355,224.6520233154297,0,200,1
356,220.24661254882812,0,200,1
357,167.64035034179688,14,200,1
358,377.49481201171875,0,119,1
359,142.4004669189453,0,200,1
360,-10.785819053649902,0,200,1
361,363.3961486816406,0,122,1
362,194.7398681640625,0,200,1
363,174.1405029296875,0,200,1
364,173.4081573486328,0,200,1
365,310.8812561035156,9,109,1
366,229.34811401367188,0,200,1
367,195.95858764648438,0,200,1
368,340.0892028808594,0,130,1
369,-3.0528030395507812,42,200,1
370,357.0499267578125,0,139,1
371,213.40640258789062,0,200,1
372,173.4983673095703,0,200,1
373,190.51864624023438,0,200,1
374,332.3966979980469,4,139,1
375,232.506103515625,1,200,1
376,179.10086059570312,19,200,1
377,267.70135498046875,22,144,1
378,351.34765625,0,72,1
379,321.65850830078125,0,72,1
380,-259.8627014160156,62,200,1
381,226.82077026367188,0,200,1
382,206.54217529296875,0,200,1
383,-11.687210083007812,0,200,1
384,164.06727600097656,0,200,1
385,161.40093994140625,10,200,1
386,210.6725616455078,0,200,1
387,15.705643653869629,0,200,1
388,193.49583435058594,0,200,1
389,347.31689453125,0,169,1
390,163.12860107421875,0,200,1
391,187.67562866210938,0,200,1
392,223.26026916503906,0,200,1
393,187.0836944580078,0,200,1
394,312.865478515625,17,127,1
395,146.52032470703125,19,200,1
396,-19.76419448852539,1,200,1
397,97.97090148925781,10,200,1
