episode,return_mean,collisions,steps,success
1,-10.189103126525879,3,300,0
2,157.40213012695312,0,300,0
3,-69.63347625732422,62,300,0
4,149.19769287109375,0,300,0
5,153.5797576904297,0,300,0
6,-8.08944034576416,0,300,0
7,-17.989953994750977,3,300,0
8,-1.4705138206481934,0,300,0
9,-64.46987915039062,67,300,0
10,161.33363342285156,0,300,0
11,-5.733858585357666,0,300,0
12,-32.35493850708008,32,300,0
13,-16.5350341796875,0,300,0
14,-26.808120727539062,22,300,0
15,-6.762571811676025,3,300,0
16,82.68893432617188,66,300,0
17,2.3462440967559814,0,300,0
18,2.7416129112243652,0,300,0
19,161.0933837890625,0,300,0
20,161.17164611816406,0,300,0
21,286.5871887207031,30,179,1
22,155.8874053955078,0,300,0
23,157.35903930664062,0,300,0
24,168.2332763671875,0,300,0
25,157.26744079589844,0,300,0
26,-48.49171447753906,71,300,0
27,151.08595275878906,0,300,0
28,146.70339965820312,9,300,0
29,1.7362396717071533,0,300,0
30,144.89697265625,0,300,0
31,-7.224322319030762,0,300,0
32,-1.6030151844024658,0,300,0
33,168.49647521972656,2,300,0
34,163.1497039794922,2,300,0
35,170.8981475830078,0,300,0
36,160.42855834960938,0,300,0
37,169.99989318847656,5,300,0
38,282.9444580078125,36,68,1
39,5.879989147186279,0,300,0
40,164.92022705078125,3,300,0
41,166.10540771484375,0,300,0
42,-76.41287231445312,66,300,0
43,-3.3580808639526367,9,300,0
44,1.2313545942306519,0,300,0
45,318.5976867675781,0,105,1
46,312.9267578125,0,186,1
47,145.99444580078125,17,300,0
48,171.5790557861328,0,300,0
49,315.38531494140625,9,299,1
50,172.25643920898438,0,300,0
