episode,return_mean,collisions,steps,success
1,41.47039794921875,50,3000,0
2,-103.0865478515625,95,3000,0
3,372.8056640625,63,3000,0
4,611.4131469726562,99,2780,1
5,-4569.6494140625,336,3000,0
6,-1412.596923828125,92,3000,0
7,-2729.969970703125,221,3000,0
8,-996.798583984375,141,3000,0
9,-649.5615844726562,0,3000,0
10,640.291015625,8,3000,0
11,-2349.813232421875,252,3000,0
12,-633.2447509765625,0,3000,0
13,740.9776611328125,0,3000,0
14,1010.6513671875,0,3000,0
15,-277.3914489746094,104,1634,1
16,342.3271789550781,19,3000,0
17,791.5369262695312,0,1610,1
18,1248.0521240234375,2,3000,0
19,621.81689453125,0,1223,1
20,-1044.4979248046875,30,3000,0
21,-3712.26416015625,492,3000,0
22,123.98345947265625,0,2482,1
23,363.6143798828125,0,438,1
24,-1988.77001953125,286,2134,1
25,442.33917236328125,65,3000,0
26,584.5866088867188,77,3000,0
27,751.597412109375,10,3000,0
28,339.553466796875,0,1117,1
29,-117.18383026123047,57,716,1
30,1118.232177734375,0,2177,1
31,777.1664428710938,0,3000,0
32,-199.52413940429688,0,3000,0
33,-619.415771484375,0,3000,0
34,413.9766845703125,0,732,1
35,563.5147705078125,0,3000,0
36,848.7792358398438,0,1565,1
37,500.9065856933594,0,987,1
38,-690.4745483398438,159,2014,1
39,-270.40228271484375,92,1347,1
40,-273.53631591796875,136,1253,1
41,134.037109375,105,3000,0
42,8.628692626953125,0,3000,0
43,919.51806640625,0,3000,0
44,919.8031005859375,0,1701,1
45,449.8162841796875,0,376,1
46,426.6164855957031,0,2113,1
47,426.5205078125,1,1147,1
48,907.2784423828125,0,3000,0
49,-256.5072937011719,118,942,1
50,-38.395263671875,131,3000,0
51,479.0941162109375,0,489,1
52,344.4483947753906,1,327,1
53,61.05426025390625,123,3000,0
54,-836.228515625,130,512,1
55,1075.2960205078125,0,3000,0
56,1025.41162109375,0,2707,1
57,486.4792175292969,0,886,1
58,237.16595458984375,0,929,1
59,1249.7802734375,0,3000,0
60,-906.139404296875,177,1099,1
61,-791.1804809570312,247,3000,0
62,-243.99502563476562,120,654,1
63,-1182.3504638671875,260,1369,1
64,1250.4722900390625,0,3000,0
65,1117.37548828125,0,3000,0
66,-115.45307159423828,58,753,1
67,-1336.541259765625,171,3000,0
68,899.4364013671875,17,1914,1
69,801.0379638671875,9,3000,0
70,588.6693725585938,0,913,1
71,-765.3472900390625,15,3000,0
72,1197.5147705078125,0,3000,0
73,847.678955078125,26,3000,0
74,349.91400146484375,0,101,1
75,331.983154296875,0,176,1
76,539.6275634765625,6,1311,1
77,313.2919921875,0,73,1
78,539.568115234375,0,952,1
79,768.2262573242188,0,1432,1
80,522.5249633789062,0,1010,1
81,796.0244140625,26,3000,0
82,763.4317016601562,12,1617,1
83,325.6478271484375,2,277,1
84,1165.9334716796875,0,3000,0
85,311.057861328125,0,223,1
86,507.7210388183594,0,611,1
87,-46.8287353515625,207,3000,0
88,-755.0123291015625,113,241,1
89,310.4683837890625,0,294,1
90,260.1318664550781,0,508,1
91,187.1997833251953,18,364,1
92,1102.65625,0,3000,0
93,320.1446533203125,0,256,1
94,559.7987670898438,0,1199,1
95,313.05328369140625,0,553,1
96,-857.522216796875,211,3000,0
97,349.5561828613281,0,96,1
98,1103.037841796875,17,3000,0
99,482.2646789550781,0,516,1
100,346.6212463378906,0,210,1
101,493.7644958496094,0,693,1
102,312.33001708984375,10,285,1
103,-436.9449462890625,68,2378,1
104,-812.517333984375,14,3000,0
105,1150.5545654296875,0,3000,0
106,460.74993896484375,0,377,1
107,532.3104248046875,0,513,1
108,-612.7325439453125,4,3000,0
109,668.7020263671875,0,998,1
110,1309.9246826171875,0,3000,0
111,565.9078369140625,0,1890,1
112,296.875732421875,0,2193,1
113,-2075.0048828125,227,3000,0
114,619.8724365234375,1,1069,1
115,368.78558349609375,14,845,1
116,-72.27864074707031,32,199,1
117,336.2658386230469,0,131,1
118,1127.6998291015625,9,3000,0
119,1251.949951171875,4,3000,0
120,369.051513671875,1,249,1
121,1177.125,0,3000,0
122,1144.694580078125,2,3000,0
123,444.3280944824219,21,716,1
124,1014.0155029296875,0,3000,0
125,-291.1254577636719,15,3000,0
126,340.7705383300781,0,145,1
127,459.4830322265625,0,480,1
128,359.2125244140625,0,3000,0
129,345.73443603515625,0,1003,1
130,1259.3427734375,0,3000,0
131,-1896.2015380859375,272,1245,1
132,-891.6362915039062,29,3000,0
133,1254.58154296875,0,3000,0
134,651.1212158203125,0,1085,1
135,-6047.91455078125,740,3000,0
136,-631.3107299804688,0,3000,0
137,380.95245361328125,0,3000,0
138,332.28424072265625,2,148,1
139,965.602783203125,0,1703,1
140,433.3988037109375,0,334,1
141,630.26318359375,45,3000,0
142,417.04522705078125,0,220,1
143,-6611.12109375,904,3000,0
144,980.46337890625,0,3000,0
145,1050.62060546875,0,3000,0
146,399.85845947265625,0,273,1
147,615.0049438476562,0,1237,1
148,1231.1162109375,0,3000,0
149,1284.7950439453125,0,3000,0
150,732.627197265625,0,3000,0
151,254.10995483398438,12,598,1
152,1304.8433837890625,0,2787,1
153,535.0079956054688,7,1412,1
154,1242.1390380859375,0,3000,0
155,-112.3114242553711,102,795,1
156,213.65716552734375,16,420,1
157,-255.43080139160156,75,649,1
158,1076.8984375,0,2113,1
159,1230.4683837890625,0,3000,0
160,471.0521240234375,0,642,1
161,1067.1202392578125,0,2729,1
162,1301.401123046875,0,3000,0
163,1177.806884765625,0,3000,0
164,784.7691650390625,0,1595,1
165,314.9307861328125,0,380,1
166,144.245361328125,33,927,1
167,-39.791343688964844,37,188,1
168,360.15411376953125,0,264,1
169,346.0572509765625,0,257,1
170,440.9573974609375,0,331,1
171,-598.43310546875,0,3000,0
172,-693.5318603515625,207,3000,0
173,65.55976867675781,27,211,1
174,358.7044677734375,0,167,1
175,321.84356689453125,0,232,1
176,1094.0128173828125,0,3000,0
177,218.01759338378906,0,505,1
178,344.8794860839844,17,626,1
179,549.142822265625,0,709,1
180,716.1609497070312,0,1298,1
181,1269.617919921875,0,3000,0
182,1317.756591796875,0,3000,0
183,334.258544921875,0,61,1
184,885.3245239257812,15,3000,0
185,573.637451171875,2,3000,0
186,1245.00146484375,0,3000,0
187,863.6067504882812,0,1441,1
188,1029.974853515625,0,3000,0
189,404.77996826171875,6,274,1
190,1291.8931884765625,0,3000,0
191,-593.595703125,0,3000,0
192,628.6610717773438,0,2409,1
193,1226.5037841796875,0,3000,0
194,1246.45166015625,0,3000,0
195,990.8375244140625,0,1923,1
196,289.2447509765625,24,524,1
197,1145.298828125,14,3000,0
198,298.5785217285156,0,3000,0
199,1028.61669921875,20,3000,0
200,87.14462280273438,40,3000,0
201,473.068359375,1,617,1
202,402.33740234375,0,309,1
203,1060.5433349609375,0,3000,0
204,381.168701171875,0,502,1
205,77.56182861328125,7,3000,0
206,1164.0909423828125,0,3000,0
207,-131.71087646484375,263,3000,0
208,446.4185791015625,0,477,1
209,947.076416015625,5,2013,1
210,-57.359527587890625,50,241,1
211,664.1207275390625,0,1008,1
212,674.7070922851562,0,1334,1
213,392.21588134765625,0,3000,0
214,801.673583984375,5,3000,0
215,1139.145751953125,0,3000,0
216,-353.05145263671875,158,3000,0
217,742.909912109375,128,3000,0
218,230.92007446289062,15,311,1
219,739.8331909179688,0,1194,1
