episode,return_mean,collisions,steps,success
1,-32.05401611328125,3,300,0
2,-199.7879638671875,20,300,0
3,-2171.916015625,217,300,0
4,150.97286987304688,0,300,0
5,-39.66986846923828,19,300,0
6,-4.160639762878418,0,300,0
7,-129.38291931152344,28,300,0
8,-640.3906860351562,64,300,0
9,2.612323760986328,0,300,0
10,152.6734619140625,0,300,0
11,-1.1419312953948975,0,300,0
12,-150.5712432861328,15,300,0
13,-975.01025390625,97,300,0
14,-113.60771179199219,11,300,0
15,-317.2706298828125,32,300,0
16,-991.5733642578125,99,300,0
17,-4.765320777893066,0,300,0
18,-4.466311931610107,0,300,0
19,3.7052366733551025,0,300,0
20,307.5016784667969,0,149,1
21,-650.983642578125,65,300,0
22,150.380126953125,0,300,0
23,150.97535705566406,0,300,0
24,154.974609375,0,300,0
25,-217.74256896972656,37,300,0
26,155.21450805664062,0,300,0
27,-2.3474292755126953,0,300,0
28,82.91029357910156,7,300,0
29,150.66529846191406,0,300,0
30,-2.7656373977661133,0,300,0
31,-299.2138671875,30,300,0
32,1.6941202878952026,0,300,0
33,0.22795534133911133,0,300,0
34,-477.218017578125,48,300,0
35,2.3616533279418945,0,300,0
36,-516.2061767578125,67,300,0
37,-225.5137176513672,23,300,0
38,215.91761779785156,9,250,1
39,4.260954856872559,0,300,0
40,305.964599609375,0,174,1
41,2.924482822418213,0,300,0
42,150.75949096679688,0,300,0
43,32.28683090209961,12,300,0
44,150.63706970214844,0,300,0
45,-157.26968383789062,16,300,0
46,303.48193359375,0,68,1
47,-217.0098419189453,37,300,0
48,307.07586669921875,0,114,1
49,154.5716552734375,0,300,0
50,307.5384826660156,0,209,1
