episode,return_mean,collisions,steps,success
1,-37.189117431640625,3,300,0
2,273.4941711425781,0,300,0
3,-1086.297607421875,108,300,0
4,-4.701080322265625,0,300,0
5,270.0089416503906,0,300,0
6,-14.753053665161133,0,300,0
7,116.71379089355469,15,300,0
8,-263.8983154296875,27,300,0
9,-264.9346923828125,27,300,0
10,-3.8878960609436035,0,300,0
11,-14.913080215454102,0,300,0
12,-291.1514587402344,29,300,0
13,-86.30931854248047,7,300,0
14,-45.82264709472656,3,300,0
15,-13.595205307006836,2,300,0
16,-1215.492919921875,121,300,0
17,-17.099687576293945,0,300,0
18,299.66583251953125,0,300,0
19,-493.4404296875,50,300,0
20,18.924530029296875,0,300,0
21,-0.8165535926818848,0,300,0
22,-4.809160232543945,0,300,0
23,297.62823486328125,0,300,0
24,-8.605728149414062,0,300,0
25,267.86602783203125,0,300,0
26,6.774059772491455,0,300,0
27,272.642578125,0,300,0
28,-23.910324096679688,2,300,0
29,-127.6468276977539,13,300,0
30,297.8170471191406,0,300,0
31,-7.441878318786621,0,300,0
32,-187.31320190429688,19,300,0
33,26.80340576171875,15,300,0
34,131.62875366210938,15,300,0
35,265.5298767089844,0,300,0
36,347.20703125,2,123,1
37,26.75986671447754,0,300,0
38,223.48880004882812,8,300,0
39,4.226883411407471,0,300,0
40,6.245116233825684,0,300,0
41,-4.3293256759643555,1,300,0
42,-18.60577964782715,0,300,0
43,127.60057067871094,6,300,0
44,-11.800795555114746,0,300,0
45,-458.0131530761719,46,300,0
46,302.9290771484375,0,300,0
47,-132.56954956054688,14,300,0
48,227.41433715820312,0,300,0
49,-461.15777587890625,48,300,0
50,19.37487030029297,0,300,0
